show_id,show_canonical_name,show_clips_count,show_description,show_episodes_count,show_genre,show_genres,show_name,show_rating,show_seasons_count,show_series_id,show_videos_count,show_company_id,show_company_channel_id,show_company_name,show_genres
54,family-guy,288,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,288,Animation and Cartoons,Animation and Cartoons~Primetime Animation~Teen~Comedy~Sitcoms,Family Guy,4.35370739,15,11730,576,8,2,FOX,Animation and Cartoons~Primetime Animation~Teen~Comedy~Sitcoms
6979,south-park,3874,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab Peopleâ€_Every episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity â€“ from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",274,Comedy,Comedy~Animation and Cartoons~Primetime Animation,South Park,4.36303207,20,50003814,4148,99,129,Comedy Central,Comedy~Animation and Cartoons~Primetime Animation
53,american-dad,121,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,172,Comedy,Comedy~Sitcoms~Animation and Cartoons~Primetime Animation,American Dad!,4.114006824,9,379,293,10,45,Fox Television Classics,Comedy~Sitcoms~Animation and Cartoons~Primetime Animation
389,law-and-order-special-victims-unit,176,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",406,Drama,Drama~Crime and Courtroom Drama~Drama~Mystery,Law & Order: Special Victims Unit,4.622855997,18,260,582,2,24,NBC,Drama~Crime and Courtroom Drama~Drama~Mystery
1603,naruto-shippuden,16,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",597,Anime,Anime~Anime - Action Adventure~Action and Adventure~International~Japanese,Naruto Shippuden,4.400626276,9,10960,613,960,50000741,Viz Media,Anime~Anime - Action Adventure~Action and Adventure~International~Japanese
23104,seinfeld,63,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",171,Comedy,Comedy~Sitcoms,Seinfeld,4.366506162,9,50020894,234,603,50000375,Sony Pictures Television,Comedy~Sitcoms
2553,modern-family,68,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",22,Comedy,Comedy~Sitcoms~Teen~Family,Modern Family,4.640557002,1,13628,90,231,282,ABC,Comedy~Sitcoms~Teen~Family
22416,adventure-time,223,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",223,Kids,Kids~Animation and Cartoons~Teen,Adventure Time,4.36580305,7,50020481,446,855,50000651,Cartoon Network,Kids~Animation and Cartoons~Teen
77,saturday-night-live,7073,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,Comedy,Comedy~Sketch Comedy~Comedy~Late Night Comedy,Saturday Night Live,4.083795347,18,8765,7443,2,24,NBC,Comedy~Sketch Comedy~Comedy~Late Night Comedy
11248,the-mindy-project,23,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,Comedy,Comedy~Sitcoms,The Mindy Project,4.440965244,5,50007572,130,492,50000249,Hulu Original Series,Comedy~Sitcoms
